mon_01,mon_02,mon_03,mon_04,mon_05,mon_06
gà xào chua ngọt,chả quế,rau muống luộc,nộm hoa chuối,,
lòng xào dưa chua,trứng cút rán sốt cà chua,canh cải thảo cuốn thịt,đậu bắp luộc,,
sườn nướng mật ong,thịt viên sốt cà chua,canh cải ngọt nấu thịt,su su luộc,,
thịt bò xào rau củ,thịt chân giò muối,cá trứng rim mắm ớt,dưa chua củ cải,canh bầu nấu tôm,
sườn rán,khoai tây xào cà chua,chả sả,canh rau muống nấu ngao,,
mực trứng hấp,sườn sụn sốt chua ngọt,canh khoai sọ rau rút,cà pháo,,
thịt ba chỉ rang cháy cạnh,mực xào dứa,canh ngao nấu dứa,dưa chuột chẻ,,
cánh gà xào chua ngọt,trứng cút chiên xù,canh bí đỏ nấu sườn,dưa chua,,
thịt kho trứng,nem rán,mướp đắng nhồi thịt,nộm đu đủ,,
mướp đắng nhồi thịt,đậu trắng sốt cà chua,canh đậu hũ,dưa bắp cải,,
cá trôi chiên ròn,thịt đông,canh dưa thịt bò,cà dầm nước mắm,,
trứng tráng,đậu phụ tứ xuyên,nộm sứa,canh cải ngọt nấu ngao,,
tôm rang thịt,lạc rang,canh cua rau đay,cà pháo,,
trứng tráng,cá rô phi chiên giòn,canh cua rau đay,cà muối sổi,,
cá chim rán,canh rau ngót thịt băm,cà muối sổi,dưa muối,,
chả lá lốt,cua đồng rang muối,rau muống luộc,canh rau chua,,
cá cơm chiên ròn,thịt quay giòn bì,rau muống xào tỏi,canh mướp đắng nhồi thịt,,
mực xào dứa,cá thu sốt cà chua,đỗ luộc,canh đậu hũ cà chua,,
cá om dưa,lòng luộc,rau sống,canh cải nấu thịt băm,,
chả cá rán,đậu tẩm hành,rau muống xào tỏi,canh rau chua,,
cá chạch rán giòn,chả lá lốt,đậu phụ sống,canh bí đỏ,,
nộm gà xé phay,cá rô chiên giòn,canh rau cải ngọt,dưa muối,,
sườn xào chua ngọt,cá diếc chiên ròn,rau lang xào tỏi,canh cải nấu tôm,,
ốc xào cay,cua đồng rang muối,rau muống xào tỏi,canh cua rau đay,,
cá rán giòn,tôm sốt cà chua,rau muống xào tỏi,canh rau chua,,
gà nướng mật ong,dưa xào thịt bò,đậu phụ luộc,canh ngao nấm kim châm,,
cá tẩm bột chiên,canh đầu cá nấu chua,salad cà chua dưa chuột,rau sống,,
nem rán,lươn sốt cay,canh bóng,rau củ quả luộc,,
chả cá chiên,gan luộc,canh thịt bò cà chua,bắp cải luộc nước mắm trứng,,
tim xào,giò bò,canh măng móng giò,hành muối,,
cá diêu hồng hấp,canh dưa thịt bò,dưa chuột chẻ,rau sống,,
gà quay mật ong,dưa góp,dưa chuột chẻ,canh khoai tây nấu sườn,,
thịt kho trứng,hoa bí xào tỏi,nộm hoa chuối,canh cải nấu thịt băm,,
thịt chân giò luộc,chả lá lốt,canh dọc mùng,mắm tép chưng,,
bắp bò luộc ngũ vị,sườn xào chua ngọt,đậu tẩm hành,rau lang luộc,,
cải cuốn thịt,trứng tráng,canh rau ngót nấu thịt băm,cà muối tỏi ớt,,
nộm tai heo,trứng hấp vân,cải chíp xào nấm,canh giá đỗ cải thảo,,
bạch tuộc sa tế,rau củ quả luộc,nộm rau muống,canh cá nấu dứa,,
thịt chân giò luộc,canh chua đầu cá ba sa,dưa chuột chẻ,,,
tôm hấp,thịt viên xiên nướng,đậu phụ tẩm hành,canh cua rau đay,,
cá rô kho tiêu,đậu tẩm hành,rau củ quả luộc,canh cua mồng tơi,cà dầm mắm,
tôm sốt chua ngọt,rau củ quả luộc,canh rau dền,cà muối,,
thịt chân giò luộc,đậu rán giòn,lạc rang,canh cua rau đay mướp,cà pháo,
đậu nhồi thịt sốt cà chua,thịt ba chỉ rang cháy cạnh,canh cà bung,dưa bắp cải muối,,
canh riêu cua,đậu phụ sống,rau sống,dưa chuột chẻ,,
đậu tẩm hành,thịt viên sốt cà chua,lạc rang,canh su hào nấu tôm,,
tôm rang,chả cốm,ngọn su su xào tỏi,cà muối,,
thịt lợn quay giòn bì,sườn nướng,mướp luộc,măng tươi luộc,,
cá cơm rang,thịt lợn luộc,rau muống xào,cà pháo,,
lòng xào dưa,cánh gà chiên mắm,khoai môn lệ phố,súp lơ luộc,,
thịt chân giò luộc,mắm tép chưng,canh rau ngót,cà pháo,,
tôm rang,rau bí xào tỏi,canh cà chua trứng,,,
cá rô nướng,lạc rang,canh khoai tây nấu sườn,rau sống,,
cá ba sa chiên,mướp đắng xào trứng,canh bí đỏ nấu tôm,,,
cá kho tộ,hoa thiên lý xào tỏi,canh bầu nấu tôm,trứng dầm nước mắm,,
đậu chiên xù,dưa xào thịt bò,bắp cải luộc,canh ngao chua,,
trứng đúc thịt,cá bống chiên giòn,canh khoai nấu sườn,rau cải luộc,,
chả cá rán,đậu phụ sống,dưa chuột bao tử muối,canh khoai tây nấu sườn,,
đậu sốt cà chua,thịt lợn luộc,rau muống luộc,dưa muối,,
thịt lợn rang,giá xào lòng mề gà,canh khoai sọ hầm xương,dưa chuột chẻ,,
nem rán,cá viên chiên,dưa góp,canh su hào thái sợi,,
cá sốt cà chua,thịt lợn rán,canh ngao chua,dưa bắp cải muối,,
