item_id,actual_id,title,category,recipes
26,5cbf3d07a29e122e4c79a994,Mâm 40,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn sốt cam', 'mướp hương xào nấm', 'trứng ốp lết', 'canh bí nấu xương']"
27,5cbf3cfda29e122e4c79a98c,Mâm 32,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá hấp xì dầu', 'bí đao cuộn thịt', 'rau muống luộc', 'nước rau muống chua']"
28,5cbf3cfda29e122e4c79a989,Mâm 29,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá kho thịt', 'canh rau cải nấu thịt băm', 'rau muống luộc', 'nước rau muống chua']"
29,5cbf3cdca29e122e4c79a981,Mâm 21,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá chép xào dưa', 'trứng chiên cuộn', 'rau muống luộc', 'bí xanh luộc']"
30,5cbf3d02a29e122e4c79a98f,Mâm 35,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn xào chua ngọt', 'tai heo luộc', 'nộm xoài xanh', 'canh rau ngót thịt băm']"
31,5cbf3cfda29e122e4c79a988,Mâm 28,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Bò xào thập cẩm', 'thịt kho trứng cút', 'rau muống luộc', 'canh rau muống chua']"
32,5cbf3cfda29e122e4c79a98b,Mâm 31,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Gà xiên que', 'rau cải xào thịt bò', 'canh bí nấu xương', 'đậu phụ', 'cà pháo']"
33,5cbf3cfda29e122e4c79a98e,Mâm 34,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mực trứng hấp xả', 'đậu phụ rán', 'hoa bí xào tỏi', 'canh rau cải nấu thịt']"
34,5cbf3cdca29e122e4c79a980,Mâm 20,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Bê xào xả ớt', 'tôm chiên xả', 'rau củ quả luộc', 'canh khoai sọ hầm xương']"
35,5cbf3ce4a29e122e4c79a983,Mâm 23,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Tôm chiên sả ớt', 'canh dưa thịt bò', 'rau muống luộc', 'dưa chuột chẻ']"
36,5cbf3d02a29e122e4c79a991,Mâm 37,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá kho', 'hoa thiên lý xào thịt bò', 'khoai tây chiên', 'canh cải thảo giá đỗ']"
37,5cbf3ce0a29e122e4c79a982,Mâm 22,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu phụ rán', 'tôm cuốn khoai tây chiên giòn', 'dưa xào cà chua', 'rau muống luộc']"
38,5cbf3d07a29e122e4c79a992,Mâm 38,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cánh gà chiên bơ', 'thịt xông khói', 'bắp cải luộc', 'canh bầu nấu tôm']"
39,5cbf3d02a29e122e4c79a990,Mâm 36,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mướp xào tim lợn', 'lưỡi lợn xào thập cẩm', 'canh cải thảo thịt bò', 'đậu phụ sống']"
40,5cbf3d07a29e122e4c79a995,Mâm 41,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả đậu', 'gà om xì dầu', 'canh mướp nấu thịt', 'súp lơ luộc']"
41,5cbf3d0ba29e122e4c79a998,Mâm 44,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt bò xào rau củ', 'thịt chân giò muối', 'cá trứng rim mắm ớt', 'dưa chua củ cải', 'canh bầu nấu tôm']"
42,5cbf3d0ba29e122e4c79a999,Mâm 45,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn nướng mật ong', 'thịt viên sốt cà chua', 'canh cải ngọt nấu thịt', 'su su luộc']"
43,5cbf3d0ba29e122e4c79a99a,Mâm 46,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn rán', 'khoai tây xào cà chua', 'chả sả', 'canh rau muống nấu ngao']"
44,5cbf3d0ba29e122e4c79a99c,Mâm 48,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá nục kho', 'mực chiên giòn', 'chả rán', 'canh mồng tơi nấu tôm']"
45,5cbf3d14a29e122e4c79a99e,Mâm 50,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt gà rang gừng', 'thịt kho tàu', 'canh mồng tơi nấu cua', 'cà pháo']"
46,5cbf3d18a29e122e4c79a99f,Mâm 51,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Chả cá sốt cà chua', 'tôm rang', 'canh dưa cà chua', 'rau muống luộc', 'cà pháo']"
47,5cbf3d0ba29e122e4c79a99b,Mâm 47,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Lòng xào dưa chua', 'trứng cút rán sốt cà chua', 'canh cải thảo cuốn thịt', 'đậu bắp luộc']"
48,5cbf3d07a29e122e4c79a997,Mâm 43,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt luộc', 'mắm tép', 'canh rau ngót', 'dưa chuột chẻ', 'dưa giá']"
49,5cbf3d10a29e122e4c79a99d,Mâm 49,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá diêu hồng chiên giòn', 'cải thảo xào', 'thịt kho tàu trứng cút', 'canh cá nấu chua']"
50,5cbf3d07a29e122e4c79a996,Mâm 42,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Trứng hấp vân', 'đậu chiên sả ớt', 'đỗ luộc']"
51,5cbf3d1ca29e122e4c79a9a0,Mâm 52,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Gà xào chua ngọt', 'chả quế', 'rau muống luộc', 'nộm hoa chuối']"
52,5cbf3d1ca29e122e4c79a9a3,Mâm 55,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mực xào dứa', 'cá thu sốt cà chua', 'đỗ luộc', 'canh đậu hũ cà chua']"
53,5cbf3d20a29e122e4c79a9a5,Mâm 57,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá trôi chiên ròn', 'thịt đông', 'canh dưa thịt bò', 'cà dầm nước mắm']"
54,5cbf3d25a29e122e4c79a9a6,Mâm 59,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt ba chỉ\xa0rang cháy cạnh', 'mực xào dứa', 'canh ngao nấu dứa', 'dưa chuột chẻ']"
55,5cbf3d1ca29e122e4c79a9a2,Mâm 54,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn xào chua ngọt', 'cá diếc chiên ròn', 'rau lang xào tỏi', 'canh cải nấu tôm']"
